Nb;Sc;Ta;Ti;Zr;Mo;Cr;Mn;Fe;Hf;Co;Si;Mg;V;W;Y;In;Ag;Ga;Cd;Sb;Te;Cu;Re;Ge;Hg;Ru;Al;As;Zn;Ni;Ir;Bi;Au;Pt;Pb;Rh;Pd;Sn;stoich_entropy;delta;avg_VEC;Formation Energy (eV/atom);Bulk Modulus (GPa);Shear Modulus (GPa);Density;Melting_Temperature;LMP;GB ratio;Omega;Log_10(K_A);Origin;Cluster;Normalized Composition
0.2;0.24;0.23;0.16;;0.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.59;0.05;7.78;-0.12;154.02;52.41;8.21;2309.01;31.72;0.34;2.58;0.36;Brute Force HEA;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.2Sc0.24Ta0.23Ti0.16Mo0.16
0.25;0.21;;0.19;;0.18;;;;;;;;;0.16;;;;;;;;;;;;;;;;;;;;;;;;;1.6;0.06;7.03;-0.11;161.53;59.9;8.03;2336.69;31.62;0.37;2.92;0.36;Brute Force HEA;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.25Sc0.21Ti0.19Mo0.18W0.16
0.17;0.19;;;0.24;;;;;0.23;;;0.18;;;;;;;;;;;;;;;;;;;;;;;;;;;1.6;0.03;6.82;-0.03;118.88;48.09;7.54;1847.06;32.31;0.4;9.84;0.34;Brute Force HEA;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.17Sc0.19Zr0.24Hf0.23Mg0.18
0.16;;;0.18;0.21;;;;;0.26;;;0.18;;;;;;;;;;;;;;;;;;;;;;;;;;;1.6;0.04;7.44;-0.06;136.93;56.97;7.95;1963.63;31.86;0.42;4.31;0.3;Brute Force HEA;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.16Ti0.18Zr0.21Hf0.26Mg0.18
0.15;0.2;;0.24;;;;;;0.26;;;;0.16;;;;;;;;;;;;;;;;;;;;;;;;;;1.59;0.06;7.7;-0.07;146.72;53.04;7.84;2152.23;31.62;0.36;4.43;0.31;Brute Force HEA;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.15Sc0.2Ti0.24Hf0.26V0.16
0.23;;;0.14;0.22;;;;;0.18;;;;0.23;;;;;;;;;;;;;;;;;;;;;;;;;;1.59;0.06;6.96;-0.03;164.09;65.36;8.27;2027.43;31.72;0.4;10.59;0.28;Brute Force HEA;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.23Ti0.14Zr0.22Hf0.18V0.23
;;0.16;0.21;0.26;;;;;0.16;;;0.21;;;;;;;;;;;;;;;;;;;;;;;;;;;1.59;0.04;8.16;-0.07;138.06;60.23;8.6;1876.86;31.86;0.44;3.86;0.3;Brute Force HEA;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Ta0.16Ti0.21Zr0.26Hf0.16Mg0.21
0.21;0.2;;0.2;;0.19;;;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.61;0.05;7.26;-0.18;141.76;56.38;8.08;2205.22;31.81;0.4;1.7;0.34;Brute Force HEA;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.21Sc0.2Ti0.2Mo0.19Hf0.2
0.16;0.28;;;0.16;0.22;;;;0.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.58;0.04;6.86;-0.15;136.04;48.28;7.95;2109.35;31.85;0.35;1.97;0.36;Brute Force HEA;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.16Sc0.28Zr0.16Mo0.22Hf0.18
;0.23;0.19;0.23;0.18;0.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.6;0.05;6.94;-0.12;138.92;49.57;7.83;2235.17;31.81;0.36;2.57;0.32;Brute Force HEA;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Sc0.23Ta0.19Ti0.23Zr0.18Mo0.17
0.18;0.14;0.21;0.2;0.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.59;0.05;7.16;-0.05;146.56;54.89;8.09;2211.85;31.81;0.37;6.69;0.36;Brute Force HEA;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.18Sc0.14Ta0.21Ti0.2Zr0.26
0.24;;0.23;0.19;0.13;;;;;;;;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;1.59;0.04;7.96;-0.08;193.33;65.5;9.28;2077.39;31.77;0.34;3.47;0.27;Brute Force HEA;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.24Ta0.23Ti0.19Zr0.13V0.2
;0.21;;0.16;0.16;0.23;;;;0.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.59;0.05;7.63;-0.16;135.87;49.61;8.18;2016.96;31.72;0.37;1.78;0.31;Brute Force HEA;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Sc0.21Ti0.16Zr0.16Mo0.23Hf0.24
0.16;0.24;0.23;0.21;;0.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.59;0.05;7.73;-0.14;151.77;52.55;8.21;2270.94;31.72;0.35;2.21;0.36;Brute Force HEA;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.16Sc0.24Ta0.23Ti0.21Mo0.15
0.25;0.17;;0.17;;0.21;;;;;;;;;0.21;;;;;;;;;;;;;;;;;;;;;;;;;1.6;0.05;7.83;-0.12;184.64;59.92;9.01;2401.08;31.72;0.32;2.82;0.37;Brute Force HEA;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.25Sc0.17Ti0.17Mo0.21W0.21
0.2;0.2;;;0.17;0.23;;;;;;;;;0.19;;;;;;;;;;;;;;;;;;;;;;;;;1.6;0.06;7.53;-0.11;162.2;54.41;8.66;2376.48;31.62;0.34;3.13;0.36;Brute Force HEA;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.2Sc0.2Zr0.17Mo0.23W0.19
0.2;0.15;;0.23;;;;;;0.25;;;0.18;;;;;;;;;;;;;;;;;;;;;;;;;;;1.59;0.05;7.16;-0.06;122.03;54.24;7.63;1944.83;31.8;0.44;4.74;0.32;Brute Force HEA;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.2Sc0.15Ti0.23Hf0.25Mg0.18
0.15;0.19;;0.18;;;;;;0.24;;;;0.23;;;;;;;;;;;;;;;;;;;;;;;;;;1.6;0.06;7.6;-0.07;146.9;57.0;7.9;2125.87;31.62;0.39;4.33;0.31;Brute Force HEA;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.15Sc0.19Ti0.18Hf0.24V0.23
0.15;0.19;;0.24;0.19;;;;;0.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.6;0.05;7.23;-0.02;133.78;49.71;7.78;2053.66;31.8;0.37;14.94;0.29;Brute Force HEA;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.15Sc0.19Ti0.24Zr0.19Hf0.23
;0.16;;;0.17;;;;;0.27;;;0.27;;;0.14;;;;;;;;;;;;;;;;;;;;;;;;1.57;0.06;6.93;-0.07;93.81;34.41;6.91;1774.93;31.72;0.37;3.23;0.31;Brute Force HEA;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Sc0.16Zr0.17Hf0.27Mg0.27Y0.14
0.22;0.13;;0.22;;0.21;;;;0.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.59;0.05;7.55;-0.15;150.44;57.75;8.27;2280.54;31.71;0.38;2.05;0.35;Brute Force HEA;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.22Sc0.13Ti0.22Mo0.21Hf0.22
0.22;0.21;;;0.16;0.19;;;;0.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.6;0.04;7.64;-0.15;141.92;47.77;8.2;2322.43;31.86;0.34;2.13;0.33;Brute Force HEA;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.22Sc0.21Zr0.16Mo0.19Hf0.23
0.17;0.26;0.23;0.14;;;;;;;;;;0.19;;;;;;;;;;;;;;;;;;;;;;;;;;1.59;0.06;7.57;-0.07;155.32;62.05;7.84;2225.6;31.62;0.4;4.2;0.34;Brute Force HEA;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.17Sc0.26Ta0.23Ti0.14V0.19
0.19;0.18;;0.17;0.21;;;;;;;;;;0.25;;;;;;;;;;;;;;;;;;;;;;;;;1.6;0.06;8.05;-0.13;165.56;57.04;8.61;2190.68;31.62;0.34;2.4;0.34;Brute Force HEA;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.19Sc0.18Ti0.17Zr0.21W0.25
;;;;;;;0.05;0.56;;0.03;0.12;;0.23;;;;;;;;;;;;;;;;;;;;;;;;;;1.18;0.07;6.81;-0.15;217.17;105.47;7.23;1571.87;30.42;0.49;1.08;-1.61;Generative CVAE;Co0.06Cr0.14Fe0.22Mn0.07Mo0.24Ru0.05Si0.04V0.14W0.05;Mn0.05Fe0.56Co0.03Si0.12V0.23
;;;;;;;0.05;0.55;;0.04;0.12;;0.24;;;;;;;;;;;;;;;;;;;;;;;;;;1.2;0.07;6.76;-0.15;217.06;104.11;7.22;1575.06;30.42;0.48;1.11;-1.59;Generative CVAE;Co0.06Cr0.14Fe0.22Mn0.07Mo0.24Ru0.05Si0.04V0.14W0.05;Mn0.05Fe0.55Co0.04Si0.12V0.24
;;;;;;;0.07;0.51;;0.05;0.12;;0.26;;;;;;;;;;;;;;;;;;;;;;;;;;1.28;0.07;6.74;-0.16;215.32;103.72;7.19;1602.5;30.42;0.48;1.09;-1.59;Generative CVAE;Co0.06Cr0.14Fe0.22Mn0.07Mo0.24Ru0.05Si0.04V0.14W0.05;Mn0.07Fe0.51Co0.05Si0.12V0.26
;;;;;;;0.04;0.62;;0.03;0.12;;0.18;;;;;;;;;;;;;;0.02;;;;;;;;;;;;1.15;0.07;6.89;-0.15;212.69;106.83;7.43;1583.44;30.42;0.5;1.02;-1.8;Generative CVAE;Co0.06Cr0.14Fe0.22Mn0.07Mo0.24Ru0.05Si0.04V0.14W0.05;Mn0.04Fe0.62Co0.03Si0.12V0.18Al0.02
;;;;;;0.15;0.33;;;0.34;0.1;;0.09;;;;;;;;;;;;;;;;;;;;;;;;;;1.46;0.06;7.04;-0.17;199.13;101.12;7.5;1586.68;30.42;0.51;1.21;-1.66;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.15Mn0.33Co0.34Si0.1V0.09
;;;;;;0.21;0.25;0.03;;0.3;0.06;;0.14;;;;;;;;;;;;;;;;;;;;;;;;;;1.6;0.05;6.95;-0.16;204.78;101.94;7.56;1651.96;30.38;0.5;1.39;-1.09;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.21Mn0.25Fe0.03Co0.3Si0.06V0.14
;;;;;;0.3;0.24;;;0.35;0.05;;0.06;;;;;;;;;;;;;;;;;;;;;;;;;;1.38;0.05;7.13;-0.15;204.36;99.33;7.57;1678.89;30.26;0.49;1.35;-1.05;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.3Mn0.24Co0.35Si0.05V0.06
;;;;;;0.39;0.2;;;0.3;0.04;;0.08;;;;;;;;;;;;;;;;;;;;;;;;;;1.37;0.04;6.95;-0.16;191.91;88.0;7.49;1708.92;30.61;0.46;1.24;-0.87;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.39Mn0.2Co0.3Si0.04V0.08
;;;;;;0.18;0.23;0.08;;0.26;0.05;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;1.68;0.05;6.86;-0.16;202.98;99.79;7.42;1668.24;30.25;0.49;1.55;-0.92;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.18Mn0.23Fe0.08Co0.26Si0.05V0.2
;;;;;;0.22;0.24;0.03;;0.35;0.06;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;1.53;0.05;7.15;-0.18;207.94;101.05;7.47;1646.39;30.24;0.49;1.23;-0.99;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.22Mn0.24Fe0.03Co0.35Si0.06V0.1
;;;;;;0.23;0.22;0.04;;0.31;0.05;;0.14;;;;;;;;;;;;;;;;;;;;;;;;;;1.6;0.05;7.01;-0.16;204.06;98.33;7.5;1663.52;30.26;0.48;1.44;-1.05;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.23Mn0.22Fe0.04Co0.31Si0.05V0.14
;;;;;;0.2;0.29;0.03;;0.28;0.09;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;;1.6;0.06;6.91;-0.15;198.39;104.76;7.45;1683.92;30.42;0.53;1.5;-1.56;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.2Mn0.29Fe0.03Co0.28Si0.09V0.11
;;;;;;0.14;0.31;0.03;;0.33;0.09;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;1.55;0.06;7.07;-0.16;197.72;100.34;7.51;1597.46;30.42;0.51;1.32;-1.65;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.14Mn0.31Fe0.03Co0.33Si0.09V0.1
0.08;0.14;0.04;0.17;0.09;0.38;;;;0.07;;;;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;1.79;0.05;6.83;-0.14;167.29;56.19;8.39;2310.23;31.2;0.34;2.54;0.33;Generative CVAE;Hf0.03Mo0.38Nb0.05Sc0.19Ta0.15Ti0.07V0.08Zr0.04;Nb0.08Sc0.14Ta0.04Ti0.17Zr0.09Mo0.38Hf0.07W0.04
;;;;;;0.33;0.22;;;0.33;0.05;;0.07;;;;;;;;;;;;;;;;;;;;;;;;;;1.4;0.05;7.04;-0.16;193.25;87.97;7.56;1661.54;30.26;0.46;1.29;-1.04;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.33Mn0.22Co0.33Si0.05V0.07
0.11;0.27;0.04;0.17;0.13;0.11;;;;0.14;;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;1.92;0.05;7.16;-0.11;132.0;43.36;7.53;2013.56;31.31;0.33;2.92;0.3;Generative CVAE;Hf0.04Mo0.15Nb0.16Sc0.16Ta0.16Ti0.16Zr0.16;Nb0.11Sc0.27Ta0.04Ti0.17Zr0.13Mo0.11Hf0.14W0.03
;;;;;;0.19;0.31;;;0.33;0.1;;0.07;;;;;;;;;;;;;;;;;;;;;;;;;;1.45;0.06;7.05;-0.18;198.15;104.03;7.52;1604.57;30.42;0.53;1.14;-1.64;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.19Mn0.31Co0.33Si0.1V0.07
;;;;;;0.36;0.22;;;0.32;0.05;;0.05;;;;;;;;;;;;;;;;;;;;;;;;;;1.36;0.05;7.04;-0.14;192.52;87.35;7.56;1678.08;30.26;0.45;1.39;-1.04;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.36Mn0.22Co0.32Si0.05V0.05
;;;;;;0.15;0.17;0.2;;0.28;0.05;;0.17;;;;;;;;;;;;;;;;;;;;;;;;;;1.7;0.05;7.13;-0.16;205.72;101.13;7.41;1654.9;30.3;0.49;1.47;-0.95;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.15Mn0.17Fe0.2Co0.28Si0.05V0.17
;;;;;;0.18;0.28;0.02;;0.36;0.06;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;1.52;0.05;7.17;-0.17;196.17;99.47;7.56;1640.7;30.28;0.51;1.3;-1.0;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.18Mn0.28Fe0.02Co0.36Si0.06V0.1
;;;;;;0.22;0.26;0.02;;0.36;0.07;;0.07;;;;;;;;;;;;;;;;;;;;;;;;;;1.5;0.06;7.17;-0.17;196.93;100.3;7.4;1622.45;30.32;0.51;1.2;-1.43;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.22Mn0.26Fe0.02Co0.36Si0.07V0.07
;;;;;;0.25;0.27;;;0.31;0.08;;0.09;;;;;;;;;;;;;;;;;;;;;;;;;;1.48;0.06;6.94;-0.17;198.05;105.46;7.53;1651.29;30.42;0.53;1.25;-1.59;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.25Mn0.27Co0.31Si0.08V0.09
;;;;;;0.27;0.22;0.03;;0.3;0.06;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;;1.57;0.05;6.96;-0.16;205.96;99.8;7.56;1644.44;30.25;0.48;1.44;-1.05;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.27Mn0.22Fe0.03Co0.3Si0.06V0.12
;;;;;;0.17;0.28;0.03;;0.32;0.07;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;;1.57;0.06;7.07;-0.17;195.74;102.55;7.53;1650.29;30.4;0.52;1.35;-1.39;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.17Mn0.28Fe0.03Co0.32Si0.07V0.11
;;;;;;0.21;0.28;0.03;;0.3;0.07;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;;1.58;0.06;6.98;-0.16;195.65;104.03;7.48;1667.53;30.4;0.53;1.46;-1.45;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.21Mn0.28Fe0.03Co0.3Si0.07V0.11
;;;;;;0.21;0.26;0.04;;0.3;0.07;;0.13;;;;;;;;;;;;;;;;;;;;;;;;;;1.6;0.05;6.96;-0.16;204.32;103.88;7.46;1656.21;30.4;0.51;1.43;-1.5;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.21Mn0.26Fe0.04Co0.3Si0.07V0.13
;;;;;;0.24;0.2;0.05;;0.29;0.04;;0.19;;;;;;;;;;;;;;;;;;;;;;;;;;1.6;0.04;6.91;-0.15;202.72;98.06;7.44;1675.94;30.5;0.48;1.52;-0.91;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.24Mn0.2Fe0.05Co0.29Si0.04V0.19
;;;;;;0.37;0.19;0.03;;0.28;0.04;;0.09;;;;;;;;;;;;;;;;;;;;;;;;;;1.49;0.04;6.92;-0.15;191.85;87.88;7.53;1720.58;30.31;0.46;1.43;-1.03;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.37Mn0.19Fe0.03Co0.28Si0.04V0.09
;;;;;;0.25;0.21;0.05;;0.27;0.05;;0.17;;;;;;;;;;;;;;;;;;;;;;;;;;1.62;0.05;6.84;-0.16;201.87;97.98;7.37;1663.03;30.26;0.49;1.49;-0.86;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.25Mn0.21Fe0.05Co0.27Si0.05V0.17
;;;;;;0.2;0.25;0.03;;0.32;0.07;;0.14;;;;;;;;;;;;;;;;;;;;;;;;;;1.58;0.05;6.99;-0.16;204.42;103.88;7.54;1655.76;30.4;0.51;1.38;-1.44;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.2Mn0.25Fe0.03Co0.32Si0.07V0.14
;;;;;;0.16;0.29;0.03;;0.29;0.1;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;;1.61;0.06;6.92;-0.16;199.41;101.92;7.48;1612.85;30.42;0.51;1.41;-1.56;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.16Mn0.29Fe0.03Co0.29Si0.1V0.12
;;;;;;0.2;0.16;0.12;;0.27;0.03;;0.21;;;;;;;;;;;;;;;;;;;;;;;;;;1.67;0.04;6.94;-0.16;191.31;86.55;7.52;1650.21;30.5;0.45;1.5;-0.34;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.2Mn0.16Fe0.12Co0.27Si0.03V0.21
;;;;;;0.23;0.28;;;0.36;0.07;;0.06;;;;;;;;;;;;;;;;;;;;;;;;;;1.42;0.05;7.17;-0.17;195.39;100.15;7.52;1630.26;30.3;0.51;1.18;-1.43;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.23Mn0.28Co0.36Si0.07V0.06
;;;;;;0.28;0.24;;;0.34;0.06;;0.08;;;;;;;;;;;;;;;;;;;;;;;;;;1.42;0.05;7.09;-0.16;204.56;99.81;7.55;1672.53;30.24;0.49;1.3;-1.05;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.28Mn0.24Co0.34Si0.06V0.08
;;;;;;0.22;0.23;0.04;;0.33;0.05;;0.13;;;;;;;;;;;;;;;;;;;;;;;;;;1.58;0.05;7.06;-0.16;204.1;99.14;7.56;1664.83;30.26;0.49;1.38;-1.07;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.22Mn0.23Fe0.04Co0.33Si0.05V0.13
;;;;;;0.32;0.26;;;0.36;0.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.25;0.05;7.23;-0.16;196.85;103.06;7.5;1639.56;30.27;0.52;1.14;-1.06;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.32Mn0.26Co0.36Si0.06
;;;;;;0.26;0.17;0.08;;0.27;0.03;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;1.63;0.04;6.86;-0.14;190.46;87.37;7.49;1686.03;30.69;0.46;1.65;-0.54;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.26Mn0.17Fe0.08Co0.27Si0.03V0.2
;;;;;;0.16;0.24;0.07;;0.3;0.07;;0.15;;;;;;;;;;;;;;;;;;;;;;;;;;1.67;0.06;6.99;-0.16;196.81;103.11;7.53;1625.58;30.4;0.52;1.43;-1.41;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.16Mn0.24Fe0.07Co0.3Si0.07V0.15
;;;;;;0.2;0.25;0.04;;0.31;0.07;;0.14;;;;;;;;;;;;;;;;;;;;;;;;;;1.62;0.05;6.98;-0.16;204.25;103.88;7.54;1653.05;30.4;0.51;1.42;-1.5;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.2Mn0.25Fe0.04Co0.31Si0.07V0.14
;;;;;;0.27;0.2;0.06;;0.28;0.04;;0.17;;;;;;;;;;;;;;;;;;;;;;;;;;1.62;0.04;6.9;-0.16;191.81;87.02;7.44;1687.87;30.5;0.45;1.5;-0.88;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.27Mn0.2Fe0.06Co0.28Si0.04V0.17
;;;;;;0.2;0.3;0.02;;0.28;0.1;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;;1.59;0.06;6.87;-0.15;199.9;102.58;7.44;1679.35;30.42;0.51;1.53;-1.58;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.2Mn0.3Fe0.02Co0.28Si0.1V0.11
;;;;;;0.27;0.28;;;0.35;0.07;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;;1.37;0.06;7.16;-0.16;195.69;100.4;7.52;1638.85;30.32;0.51;1.24;-1.43;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.27Mn0.28Co0.35Si0.07V0.03
;;;;;;0.12;0.35;0.02;;0.28;0.12;;0.09;;;;;;;;;;;;;;;;;;;;;;;;;;1.55;0.07;6.92;-0.18;200.38;102.73;7.41;1620.75;30.42;0.51;1.23;-1.74;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.12Mn0.35Fe0.02Co0.28Si0.12V0.09
;;;;;;0.28;0.19;0.04;;0.27;0.04;;0.17;;;;;;;;;;;;;;;;;;;;;;;;;;1.59;0.04;6.84;-0.16;191.68;87.56;7.32;1680.33;30.3;0.46;1.47;-0.89;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.28Mn0.19Fe0.04Co0.27Si0.04V0.17
;;;;;;0.2;0.28;0.03;;0.3;0.09;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;;1.59;0.06;6.97;-0.17;198.39;105.43;7.48;1664.7;30.42;0.53;1.37;-1.56;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.2Mn0.28Fe0.03Co0.3Si0.09V0.11
;;;;;;0.28;0.25;;;0.35;0.07;;0.05;;;;;;;;;;;;;;;;;;;;;;;;;;1.41;0.05;7.11;-0.17;207.64;100.29;7.55;1639.09;30.3;0.48;1.19;-1.45;Generative CVAE;Al0.04Co0.12Cr0.39Fe0.03Mn0.17Mo0.11Ni0.01Re0.06V0.05W0.01;Cr0.28Mn0.25Co0.35Si0.07V0.05
